"","MGI.symbol","HGNC.symbol","NCBI.gene..formerly.Entrezgene..ID","NCBI.gene..formerly.Entrezgene..description"
"182","Rcn2","RCN2",5955,"reticulocalbin 2"
"183","Mgst1","MGST1",4257,"microsomal glutathione S-transferase 1"
"184","Slitrk2","SLITRK2",84631,"SLIT and NTRK like family member 2"
"185","Pou3f2","POU3F2",5454,"POU class 3 homeobox 2"
"186","Pon2","PON2",5445,"paraoxonase 2"
"187","Fabp7","FABP7",2173,"fatty acid binding protein 7"
"188","Pdlim5","PDLIM5",10611,"PDZ and LIM domain 5"
"189","Cox7b2","COX7B2",170712,"cytochrome c oxidase subunit 7B2"
"190","Pdzrn4","PDZRN4",29951,"PDZ domain containing ring finger 4"
"191","Vta1","VTA1",51534,"vesicle trafficking 1"
"192","Nkain4","NKAIN4",128414,"sodium/potassium transporting ATPase interacting 4"
"193","Igfbp4","IGFBP4",3487,"insulin like growth factor binding protein 4"
"194","Gramd3","GRAMD2B",65983,"GRAM domain containing 2B"
"195","Tspan33","TSPAN33",340348,"tetraspanin 33"
"196","Fam107a","FAM107A",11170,"family with sequence similarity 107 member A"
"197","Gatm","GATM",2628,"glycine amidinotransferase"
"198","Tubb2b","TUBB2B",347733,"tubulin beta 2B class IIb"
"199","Acadl","ACADL",33,"acyl-CoA dehydrogenase long chain"
"200","Ephx2","EPHX2",2053,"epoxide hydrolase 2"
"201","Magt1","MAGT1",84061,"magnesium transporter 1"
"202","Dcxr","DCXR",51181,"dicarbonyl and L-xylulose reductase"
"203","Gna12","GNA12",2768,"G protein subunit alpha 12"
"204","St3gal4","ST3GAL4",6484,"ST3 beta-galactoside alpha-2,3-sialyltransferase 4"
"205","Ucp2","UCP2",7351,"uncoupling protein 2"
"206","Clec3b","CLEC3B",7123,"C-type lectin domain family 3 member B"
"207","H2-K1","HLA-E",3133,"major histocompatibility complex, class I, E"
"208","Rgs20","RGS20",8601,"regulator of G protein signaling 20"
"209","Cadm4","CADM4",199731,"cell adhesion molecule 4"
"210","Sat1","SAT1",6303,"spermidine/spermine N1-acetyltransferase 1"
"211","Dhrs4","DHRS4L2",317749,"dehydrogenase/reductase 4 like 2"
"212","Ift57","IFT57",55081,"intraflagellar transport 57"
"213","Nebl","NEBL",10529,"nebulette"
"214","Zfyve21","ZFYVE21",79038,"zinc finger FYVE-type containing 21"
"215","Ctso","CTSO",1519,"cathepsin O"
"216","Prkg1","PRKG1",5592,"protein kinase cGMP-dependent 1"
"217","Echs1","ECHS1",1892,"enoyl-CoA hydratase, short chain 1"
"218","Nqo1","NQO1",1728,"NAD(P)H quinone dehydrogenase 1"
"219","Ccdc122","CCDC122",160857,"coiled-coil domain containing 122"
"220","Spock3","SPOCK3",50859,"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 3"
"221","Pla2g7","PLA2G7",7941,"phospholipase A2 group VII"
"222","Rdh10","RDH10",157506,"retinol dehydrogenase 10"
"223","Cd81","CD81",975,"CD81 molecule"
"224","Lcat","LCAT",3931,"lecithin-cholesterol acyltransferase"
"225","Hspa2","HSPA2",3306,"heat shock protein family A (Hsp70) member 2"
"226","Wnt6","WNT6",7475,"Wnt family member 6"
"227","Gjc3","GJC3",349149,"gap junction protein gamma 3"
"228","Sardh","SARDH",1757,"sarcosine dehydrogenase"
"229","Slc4a4","SLC4A4",8671,"solute carrier family 4 member 4"
"230","Msx2","MSX2",4488,"msh homeobox 2"
"231","Bambi","BAMBI",25805,"BMP and activin membrane bound inhibitor"
"232","Cdh11","CDH11",1009,"cadherin 11"
"233","Mid1ip1","MID1IP1",58526,"MID1 interacting protein 1"
"234","Zcchc24","ZCCHC24",219654,"zinc finger CCHC-type containing 24"
"235","Serpinh1","SERPINH1",871,"serpin family H member 1"
"236","St6galnac5","ST6GALNAC5",81849,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5"
"237","Shisa9","SHISA9",729993,"shisa family member 9"
"238","Sfxn5","SFXN5",94097,"sideroflexin 5"
"239","Mcc","MCC",4163,"MCC regulator of WNT signaling pathway"
"240","Dock1","DOCK1",1793,"dedicator of cytokinesis 1"
"241","Tnfaip8","TNFAIP8",25816,"TNF alpha induced protein 8"
"242","Zdhhc12","ZDHHC12",84885,"zinc finger DHHC-type palmitoyltransferase 12"
"243","Slc12a4","SLC12A4",6560,"solute carrier family 12 member 4"
"244","Dusp6","DUSP6",1848,"dual specificity phosphatase 6"
"245","Npas3","NPAS3",64067,"neuronal PAS domain protein 3"
"246","Sfxn1","SFXN1",94081,"sideroflexin 1"
"247","Rexo2","REXO2",25996,"RNA exonuclease 2"
"248","Ascl1","ASCL1",429,"achaete-scute family bHLH transcription factor 1"
"249","Cachd1","CACHD1",57685,"cache domain containing 1"
"250","Cacng5","CACNG5",27091,"calcium voltage-gated channel auxiliary subunit gamma 5"
"251","Mmd2","MMD2",221938,"monocyte to macrophage differentiation associated 2"
"252","Kcne1l","KCNE5",23630,"potassium voltage-gated channel subfamily E regulatory subunit 5"
"253","Slc27a1","SLC27A1",376497,"solute carrier family 27 member 1"
"254","Fgfr2","FGFR2",2263,"fibroblast growth factor receptor 2"
"255","Slc38a3","SLC38A3",10991,"solute carrier family 38 member 3"
"256","Slc20a2","SLC20A2",6575,"solute carrier family 20 member 2"
"257","Mmp14","MMP14",4323,"matrix metallopeptidase 14"
"258","Ifit3b","IFIT3",3437,"interferon induced protein with tetratricopeptide repeats 3"
"259","Lamp1","LAMP1",3916,"lysosomal associated membrane protein 1"
"260","Trps1","TRPS1",7227,"transcriptional repressor GATA binding 1"
"261","Adgra1","ADGRA1",84435,"adhesion G protein-coupled receptor A1"
"262","Irx1","IRX1",79192,"iroquois homeobox 1"
"263","N4bp3","N4BP3",23138,"NEDD4 binding protein 3"
"264","Slc7a10","SLC7A10",56301,"solute carrier family 7 member 10"
"265","Sppl2a","SPPL2A",84888,"signal peptide peptidase like 2A"
"266","Sparcl1","SPARCL1",8404,"SPARC like 1"
"267","Ptprz1","PTPRZ1",5803,"protein tyrosine phosphatase receptor type Z1"
"268","Tspan31","TSPAN31",6302,"tetraspanin 31"
"269","Cdk5rap3","CDK5RAP3",80279,"CDK5 regulatory subunit associated protein 3"
"270","Igsf11","IGSF11",152404,"immunoglobulin superfamily member 11"
"271","Eno1","ENO1",2023,"enolase 1"
"272","Sqle","SQLE",6713,"squalene epoxidase"
"273","Fbxo2","FBXO2",26232,"F-box protein 2"
"274","Il18","IL18",3606,"interleukin 18"
"275","Lxn","LXN",56925,"latexin"
"276","Eva1a","EVA1A",84141,"eva-1 homolog A, regulator of programmed cell death"
"277","Slc35d1","SLC35D1",23169,"solute carrier family 35 member D1"
"278","Gpld1","GPLD1",2822,"glycosylphosphatidylinositol specific phospholipase D1"
"279","Fads1","FADS1",3992,"fatty acid desaturase 1"
"280","Adk","ADK",132,"adenosine kinase"
"281","Sox9","SOX9",6662,"SRY-box transcription factor 9"
"282","Ptch1","PTCH1",5727,"patched 1"
"283","Hadh","HADH",3033,"hydroxyacyl-CoA dehydrogenase"
"284","Gm5617","C11orf71",54494,"chromosome 11 open reading frame 71"
"285","Sypl","SYPL1",6856,"synaptophysin like 1"
"286","Tmem229a","TMEM229A",730130,"transmembrane protein 229A"
"287","Tsc22d4","TSC22D4",81628,"TSC22 domain family member 4"
"288","Cd302","CD302",9936,"CD302 molecule"
"289","Slc25a33","SLC25A33",84275,"solute carrier family 25 member 33"
"290","Dpy19l3","DPY19L3",147991,"dpy-19 like C-mannosyltransferase 3"
"291","Hadhb","HADHB",3032,"hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta"
"292","Bmpr1b","BMPR1B",658,"bone morphogenetic protein receptor type 1B"
"293","Notch1","NOTCH1",4851,"notch receptor 1"
"294","A2m","A2M",2,"alpha-2-macroglobulin"
"295","Dao","DAO",1610,"D-amino acid oxidase"
"296","P2ry1","P2RY1",5028,"purinergic receptor P2Y1"
"297","Rhbdf1","RHBDF1",64285,"rhomboid 5 homolog 1"
"298","Nr2f1","NR2F1",7025,"nuclear receptor subfamily 2 group F member 1"
"299","Cpq","CPQ",10404,"carboxypeptidase Q"
"300","Scg3","SCG3",29106,"secretogranin III"
"301","Tcf7l1","TCF7L1",83439,"transcription factor 7 like 1"
"302","Ddo","DDO",8528,"D-aspartate oxidase"
"303","Pde8b","",8622,"phosphodiesterase 8B"
"304","Crip2","CRIP2",1397,"cysteine rich protein 2"
"305","Msmo1","MSMO1",6307,"methylsterol monooxygenase 1"
"306","Lix1","LIX1",167410,"limb and CNS expressed 1"
"307","Cacng4","CACNG4",27092,"calcium voltage-gated channel auxiliary subunit gamma 4"
"308","Hepacam","HEPACAM",220296,"hepatic and glial cell adhesion molecule"
"309","Actr3b","ACTR3B",57180,"actin related protein 3B"
"310","Sulf1","SULF1",23213,"sulfatase 1"
"311","Tubb2a","TUBB2A",7280,"tubulin beta 2A class IIa"
"312","Lap3","LAP3",51056,"leucine aminopeptidase 3"
"313","Tspan15","TSPAN15",23555,"tetraspanin 15"
"314","Akr1b10","AKR1B10",57016,"aldo-keto reductase family 1 member B10"
"315","Megf10","MEGF10",84466,"multiple EGF like domains 10"
"316","Zfp36l1","ZFP36L1",677,"ZFP36 ring finger protein like 1"
"317","Serpinb6a","SERPINB6",5269,"serpin family B member 6"
"318","Cyp4f14","CYP4F2",8529,"cytochrome P450 family 4 subfamily F member 2"
"319","Decr1","DECR1",1666,"2,4-dienoyl-CoA reductase 1"
"320","Pou3f3","POU3F3",5455,"POU class 3 homeobox 3"
"321","Smpd2","SMPD2",6610,"sphingomyelin phosphodiesterase 2"
"322","Mybpc1","MYBPC1",4604,"myosin binding protein C1"
"323","Paqr4","PAQR4",124222,"progestin and adipoQ receptor family member 4"
"324","Pgm2","PGM2",55276,"phosphoglucomutase 2"
"325","Atp1b2","ATP1B2",482,"ATPase Na+/K+ transporting subunit beta 2"
"326","Lrrc8a","LRRC8A",56262,"leucine rich repeat containing 8 VRAC subunit A"
"327","Ptn","PTN",5764,"pleiotrophin"
"328","Rrbp1","RRBP1",6238,"ribosome binding protein 1"
"329","Fnta","FNTA",2339,"farnesyltransferase, CAAX box, alpha"
"330","Plin3","PLIN3",10226,"perilipin 3"
"331","Lpcat3","LPCAT3",10162,"lysophosphatidylcholine acyltransferase 3"
"332","Serhl","SERHL2",253190,"serine hydrolase like 2"
"333","Abca1","ABCA1",19,"ATP binding cassette subfamily A member 1"
"334","Stk32a","STK32A",202374,"serine/threonine kinase 32A"
"335","Qk","QKI",9444,"QKI, KH domain containing RNA binding"
"336","Sema6d","SEMA6D",80031,"semaphorin 6D"
"337","Saraf","SARAF",51669,"store-operated calcium entry associated regulatory factor"
"338","Aass","AASS",10157,"aminoadipate-semialdehyde synthase"
"339","Sdc3","SDC3",9672,"syndecan 3"
"340","Cd70","CD70",970,"CD70 molecule"
"341","Tmem176b","TMEM176B",28959,"transmembrane protein 176B"
"342","Adra1b","ADRA1B",147,"adrenoceptor alpha 1B"
"343","Tcf12","TCF12",6938,"transcription factor 12"
"344","Gjb6","GJB6",10804,"gap junction protein beta 6"
"345","Chpt1","CHPT1",56994,"choline phosphotransferase 1"
"346","Ginm1","GINM1",116254,"glycoprotein integral membrane 1"
"347","Frmpd1","FRMPD1",22844,"FERM and PDZ domain containing 1"
"348","Prex2","PREX2",80243,"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2"
"349","Slc13a3","SLC13A3",64849,"solute carrier family 13 member 3"
"350","Anxa5","ANXA5",308,"annexin A5"
"351","Slc1a4","SLC1A4",6509,"solute carrier family 1 member 4"
"352","Lrtm2","LRTM2",654429,"leucine rich repeats and transmembrane domains 2"
"353","Arhgef19","ARHGEF19",128272,"Rho guanine nucleotide exchange factor 19"
"354","Aldh2","ALDH2",217,"aldehyde dehydrogenase 2 family member"
"355","Enho","ENHO",375704,"energy homeostasis associated"
"356","Mras","MRAS",22808,"muscle RAS oncogene homolog"
"357","Pygm","PYGM",5837,"glycogen phosphorylase, muscle associated"
"358","Trip6","TRIP6",7205,"thyroid hormone receptor interactor 6"
"359","Gna13","GNA13",10672,"G protein subunit alpha 13"
"360","Cthrc1","CTHRC1",115908,"collagen triple helix repeat containing 1"
"361","Dennd2a","DENND2A",27147,"DENN domain containing 2A"
"362","Aldh7a1","ALDH7A1",501,"aldehyde dehydrogenase 7 family member A1"
"363","Pcsk6","PCSK6",5046,"proprotein convertase subtilisin/kexin type 6"
"364","Slc7a2","SLC7A2",6542,"solute carrier family 7 member 2"
"365","Ifit3","IFIT3",3437,"interferon induced protein with tetratricopeptide repeats 3"
"366","Slc6a1","SLC6A1",6529,"solute carrier family 6 member 1"
"367","Acsbg1","ACSBG1",23205,"acyl-CoA synthetase bubblegum family member 1"
"368","Kcnn2","KCNN2",3781,"potassium calcium-activated channel subfamily N member 2"
"369","Fam214b","FAM214B",80256,"family with sequence similarity 214 member B"
"370","Ttpa","TTPA",7274,"alpha tocopherol transfer protein"
"371","Gpt2","GPT2",84706,"glutamic--pyruvic transaminase 2"
"372","Smpdl3a","SMPDL3A",10924,"sphingomyelin phosphodiesterase acid like 3A"
"373","Itpr2","ITPR2",3709,"inositol 1,4,5-trisphosphate receptor type 2"
"374","Cpt1a","CPT1A",1374,"carnitine palmitoyltransferase 1A"
"375","Fabp5","FABP5",2171,"fatty acid binding protein 5"
"376","Alcam","ALCAM",214,"activated leukocyte cell adhesion molecule"
"377","Wipi1","WIPI1",55062,"WD repeat domain, phosphoinositide interacting 1"
"378","Vegfc","VEGFC",7424,"vascular endothelial growth factor C"
"379","4931406C07Rik","C11orf54",28970,"chromosome 11 open reading frame 54"
"380","Tsc22d3","TSC22D3",1831,"TSC22 domain family member 3"
"381","Prodh","PRODH",5625,"proline dehydrogenase 1"
"382","Hnmt","HNMT",3176,"histamine N-methyltransferase"
"383","Bok","BOK",666,"BCL2 family apoptosis regulator BOK"
"384","Fgfr3","FGFR3",2261,"fibroblast growth factor receptor 3"
"385","Gpr153","GPR153",387509,"G protein-coupled receptor 153"
"386","Cd151","CD151",977,"CD151 molecule (Raph blood group)"
"387","Naaa","NAAA",27163,"N-acylethanolamine acid amidase"
"388","Rmnd5b","RMND5B",64777,"required for meiotic nuclear division 5 homolog B"
"389","Gria4","GRIA4",2893,"glutamate ionotropic receptor AMPA type subunit 4"
"390","Itgav","ITGAV",3685,"integrin subunit alpha V"
"391","Gas2l3","GAS2L3",283431,"growth arrest specific 2 like 3"
"392","Crot","CROT",54677,"carnitine O-octanoyltransferase"
"393","Fzd1","FZD1",8321,"frizzled class receptor 1"
"394","Map2k6","MAP2K6",5608,"mitogen-activated protein kinase kinase 6"
"395","Itm2c","ITM2C",81618,"integral membrane protein 2C"
"396","Creb3l1","CREB3L1",90993,"cAMP responsive element binding protein 3 like 1"
"397","Hsd17b12","HSD17B12",51144,"hydroxysteroid 17-beta dehydrogenase 12"
"398","Slc1a2","SLC1A2",6506,"solute carrier family 1 member 2"
"399","Laptm4b","LAPTM4B",55353,"lysosomal protein transmembrane 4 beta"
"400","Asah1","ASAH1",427,"N-acylsphingosine amidohydrolase 1"
"401","Scamp2","SCAMP2",10066,"secretory carrier membrane protein 2"
"402","Adam17","ADAM17",6868,"ADAM metallopeptidase domain 17"
"403","Cxcl14","CXCL14",9547,"C-X-C motif chemokine ligand 14"
"404","Tspan3","TSPAN3",10099,"tetraspanin 3"
"405","Akt2","AKT2",208,"AKT serine/threonine kinase 2"
"406","Fscn1","FSCN1",6624,"fascin actin-bundling protein 1"
"407","Arsk","ARSK",153642,"arylsulfatase family member K"
"408","Cdh10","CDH10",1008,"cadherin 10"
