"","MGI.symbol","HGNC.symbol","NCBI.gene..formerly.Entrezgene..ID","NCBI.gene..formerly.Entrezgene..description"
"77","Grin2c","GRIN2C",2905,"glutamate ionotropic receptor NMDA type subunit 2C"
"78","Fgf9","FGF9",2254,"fibroblast growth factor 9"
"79","Tubb4a","TUBB4A",10382,"tubulin beta 4A class IVa"
"80","Snrpn","SNRPN",6638,"small nuclear ribonucleoprotein polypeptide N"
"81","Syt1","SYT1",6857,"synaptotagmin 1"
"82","Agtpbp1","AGTPBP1",23287,"ATP/GTP binding carboxypeptidase 1"
"83","Chn2","",1124,"chimerin 2"
"84","Kndc1","KNDC1",85442,"kinase non-catalytic C-lobe domain containing 1"
"85","Ccndbp1","CCNDBP1",23582,"cyclin D1 binding protein 1"
"86","Rnf122","RNF122",79845,"ring finger protein 122"
"87","Tesc","TESC",54997,"tescalcin"
"88","Shisa8","SHISA8",440829,"shisa family member 8"
"89","Jph4","JPH4",84502,"junctophilin 4"
"90","Mrgprf","MRGPRF",116535,"MAS related GPR family member F"
"91","Snap25","SNAP25",6616,"synaptosome associated protein 25"
"92","Fxyd6","FXYD6",53826,"FXYD domain containing ion transport regulator 6"
"93","Abhd16a","ABHD16A",7920,"abhydrolase domain containing 16A, phospholipase"
"94","Tmem178","TMEM178A",130733,"transmembrane protein 178A"
"95","Kcnd2","KCND2",3751,"potassium voltage-gated channel subfamily D member 2"
"96","Vsnl1","VSNL1",7447,"visinin like 1"
"97","Cbln3","CBLN3",643866,"cerebellin 3 precursor"
"98","Ak4","AK4",205,"adenylate kinase 4"
"99","Egr4","EGR4",1961,"early growth response 4"
"100","Ypel3","YPEL3",83719,"yippee like 3"
"101","Rasgef1a","RASGEF1A",221002,"RasGEF domain family member 1A"
"102","Car10","CA10",56934,"carbonic anhydrase 10"
"103","Mab21l1","MAB21L1",4081,"mab-21 like 1"
"104","Atp6v1g2","ATP6V1G2-DDX39B",NA,""
"105","Rims2","RIMS2",9699,"regulating synaptic membrane exocytosis 2"
"106","Vat1l","VAT1L",57687,"vesicle amine transport 1 like"
"107","Scn2b","SCN2B",6327,"sodium voltage-gated channel beta subunit 2"
"108","Rab15","RAB15",376267,"RAB15, member RAS oncogene family"
"109","Nrn1","NRN1",51299,"neuritin 1"
"110","Gnai1","GNAI1",2770,"G protein subunit alpha i1"
"111","Emc4","EMC4",51234,"ER membrane protein complex subunit 4"
"112","Cplx2","CPLX2",10814,"complexin 2"
"113","Dusp5","DUSP5",1847,"dual specificity phosphatase 5"
"114","Tmem163","TMEM163",81615,"transmembrane protein 163"
"115","Rtn1","RTN1",6252,"reticulon 1"
"116","Caln1","CALN1",83698,"calneuron 1"
"117","Spag1","SPAG1",6674,"sperm associated antigen 1"
"118","Ifitm10","IFITM10",402778,"interferon induced transmembrane protein 10"
"119","Galnt13","GALNT13",114805,"polypeptide N-acetylgalactosaminyltransferase 13"
"120","Olfm1","OLFM1",10439,"olfactomedin 1"
"121","Crtam","CRTAM",56253,"cytotoxic and regulatory T cell molecule"
"122","Usp3","USP3",9960,"ubiquitin specific peptidase 3"
"123","Ralyl","RALYL",138046,"RALY RNA binding protein like"
"124","Ncald","NCALD",83988,"neurocalcin delta"
"125","Ggact","GGACT",87769,"gamma-glutamylamine cyclotransferase"
"126","Nrep","NREP",9315,"neuronal regeneration related protein"
"127","Pxylp1","PXYLP1",92370,"2-phosphoxylose phosphatase 1"
"128","Wscd2","WSCD2",9671,"WSC domain containing 2"
"129","St3gal2","ST3GAL2",6483,"ST3 beta-galactoside alpha-2,3-sialyltransferase 2"
"130","Ppargc1b","PPARGC1B",133522,"PPARG coactivator 1 beta"
"131","Rps6ka1","RPS6KA1",6195,"ribosomal protein S6 kinase A1"
"132","Zfp467","ZNF467",168544,"zinc finger protein 467"
"133","Crhr1","LINC02210-CRHR1",104909134,"LINC02210-CRHR1 readthrough"
"134","Crhr1","LINC02210-CRHR1",1394,"corticotropin releasing hormone receptor 1"
"135","Faim2","FAIM2",23017,"Fas apoptotic inhibitory molecule 2"
"136","Cdh8","CDH8",1006,"cadherin 8"
"137","Eno2","ENO2",2026,"enolase 2"
"138","Lrrc3b","LRRC3B",116135,"leucine rich repeat containing 3B"
"139","Sptb","SPTB",6710,"spectrin beta, erythrocytic"
"140","Scx","SCX",642658,"scleraxis bHLH transcription factor"
"141","5730409E04Rik","C1orf216",127703,"chromosome 1 open reading frame 216"
"142","Reln","RELN",5649,"reelin"
"143","Kcnmb4","KCNMB4",27345,"potassium calcium-activated channel subfamily M regulatory beta subunit 4"
"144","Prkce","PRKCE",5581,"protein kinase C epsilon"
"145","Igfbp5","IGFBP5",3488,"insulin like growth factor binding protein 5"
"146","Neto2","NETO2",81831,"neuropilin and tolloid like 2"
"147","Kcnj12","KCNJ18",100134444,"potassium inwardly rectifying channel subfamily J member 18"
"148","Exoc3l","EXOC3L1",283849,"exocyst complex component 3 like 1"
"149","Rbfox3","RBFOX3",146713,"RNA binding fox-1 homolog 3"
"150","Clstn2","CLSTN2",64084,"calsyntenin 2"
"151","Barhl2","BARHL2",343472,"BarH like homeobox 2"
"152","Rnf208","RNF208",727800,"ring finger protein 208"
"153","Chn2","CHN2",1124,"chimerin 2"
"154","Pagr1a","PAGR1",79447,"PAXIP1 associated glutamate rich protein 1"
"155","Baz2b","BAZ2B",29994,"bromodomain adjacent to zinc finger domain 2B"
"156","Rock2","ROCK2",9475,"Rho associated coiled-coil containing protein kinase 2"
"157","Cdh15","CDH15",1013,"cadherin 15"
"158","Tlx3","TLX3",30012,"T cell leukemia homeobox 3"
"159","Gas7","GAS7",8522,"growth arrest specific 7"
"160","Kcnk12","KCNK12",56660,"potassium two pore domain channel subfamily K member 12"
"161","Trim62","TRIM62",55223,"tripartite motif containing 62"
"162","Ripply2","RIPPLY2",134701,"ripply transcriptional repressor 2"
"163","Gprin1","GPRIN1",114787,"G protein regulated inducer of neurite outgrowth 1"
"164","Rnf112","RNF112",7732,"ring finger protein 112"
"165","Plekha5","PLEKHA5",54477,"pleckstrin homology domain containing A5"
"166","Ccsap","CCSAP",126731,"centriole, cilia and spindle associated protein"
"167","Fam171a2","FAM171A2",284069,"family with sequence similarity 171 member A2"
"168","Gng3","GNG3",2785,"G protein subunit gamma 3"
"169","Rtn4rl1","RTN4RL1",146760,"reticulon 4 receptor like 1"
"170","Ablim3","ABLIM3",22885,"actin binding LIM protein family member 3"
"171","Grik2","GRIK2",2898,"glutamate ionotropic receptor kainate type subunit 2"
"172","Ak4","AK4P3",NA,""
"173","Slc8a2","SLC8A2",6543,"solute carrier family 8 member A2"
"174","Nab2","NAB2",4665,"NGFI-A binding protein 2"
"175","1700025G04Rik","C1orf21",81563,"chromosome 1 open reading frame 21"
"176","Cadm3","CADM3",57863,"cell adhesion molecule 3"
"177","Ipcef1","IPCEF1",26034,"interaction protein for cytohesin exchange factors 1"
"178","Gabrd","GABRD",2563,"gamma-aminobutyric acid type A receptor subunit delta"
"179","Prkcb","PRKCB",5579,"protein kinase C beta"
"180","Calm2","CALM2",805,"calmodulin 2"
"181","Prkcz","PRKCZ",5590,"protein kinase C zeta"
"182","Chil5","CHIA",27159,"chitinase acidic"
"183","Nr4a3","NR4A3",8013,"nuclear receptor subfamily 4 group A member 3"
"184","St18","ST18",9705,"ST18 C2H2C-type zinc finger transcription factor"
"185","Rims1","RIMS1",22999,"regulating synaptic membrane exocytosis 1"
"186","Slc17a7","SLC17A7",57030,"solute carrier family 17 member 7"
"187","Hpcal1","HPCAL1",3241,"hippocalcin like 1"
"188","Kcnh1","KCNH1",3756,"potassium voltage-gated channel subfamily H member 1"
"189","Sv2b","SV2B",9899,"synaptic vesicle glycoprotein 2B"
"190","Shf","SHF",90525,"Src homology 2 domain containing F"
"191","Kcnk3","KCNK3",3777,"potassium two pore domain channel subfamily K member 3"
"192","Cacna1e","CACNA1E",777,"calcium voltage-gated channel subunit alpha1 E"
"193","Bend6","BEND6",221336,"BEN domain containing 6"
"194","Calb2","CALB2",794,"calbindin 2"
"195","6430548M08Rik","KIAA0513",9764,"KIAA0513"
"196","Mctp1","MCTP1",79772,"multiple C2 and transmembrane domain containing 1"
"197","Tmem59l","TMEM59L",25789,"transmembrane protein 59 like"
"198","Rif1","RIF1",55183,"replication timing regulatory factor 1"
"199","Il16","IL16",3603,"interleukin 16"
"200","Lin7a","LIN7A",8825,"lin-7 homolog A, crumbs cell polarity complex component"
"201","Schip1","SCHIP1",29970,"schwannomin interacting protein 1"
"202","Schip1","IQCJ-SCHIP1",100505385,"IQCJ-SCHIP1 readthrough"
"203","Schip1","IQCJ-SCHIP1",29970,"schwannomin interacting protein 1"
"204","Snrk","SNRK",54861,"SNF related kinase"
"205","Ppfia4","PPFIA4",8497,"PTPRF interacting protein alpha 4"
"206","Gprc5c","GPRC5C",55890,"G protein-coupled receptor class C group 5 member C"
"207","Grin2a","GRIN2A",2903,"glutamate ionotropic receptor NMDA type subunit 2A"
"208","Kbtbd11","KBTBD11",9920,"kelch repeat and BTB domain containing 11"
"209","Ncdn","NCDN",23154,"neurochondrin"
"210","Mgst3","MGST3",4259,"microsomal glutathione S-transferase 3"
"211","Plk5","PLK5",126520,"polo like kinase 5 (inactive)"
"212","Tyro3","TYRO3",7301,"TYRO3 protein tyrosine kinase"
"213","St3gal5","ST3GAL5",8869,"ST3 beta-galactoside alpha-2,3-sialyltransferase 5"
"214","Cbln1","CBLN1",869,"cerebellin 1 precursor"
"215","Adora1","ADORA1",134,"adenosine A1 receptor"
"216","Pax6","PAX6",5080,"paired box 6"
"217","Prrt2","PRRT2",112476,"proline rich transmembrane protein 2"
"218","Rbfox1","RBFOX1",54715,"RNA binding fox-1 homolog 1"
"219","Fat2","FAT2",2196,"FAT atypical cadherin 2"
"220","Cacnb4","CACNB4",785,"calcium voltage-gated channel auxiliary subunit beta 4"
"221","Cited4","CITED4",163732,"Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4"
"222","Kif26b","KIF26B",55083,"kinesin family member 26B"
"223","Cadps2","CADPS2",93664,"calcium dependent secretion activator 2"
"224","Psd3","PSD3",23362,"pleckstrin and Sec7 domain containing 3"
"225","Fzd7","FZD7",8324,"frizzled class receptor 7"
"226","Erc1","ERC1",23085,"ELKS/RAB6-interacting/CAST family member 1"
"227","Sidt1","SIDT1",54847,"SID1 transmembrane family member 1"
"228","Dgkd","DGKD",8527,"diacylglycerol kinase delta"
"229","Bcl2l15","BCL2L15",440603,"BCL2 like 15"
"230","Gng2","GNG2",54331,"G protein subunit gamma 2"
"231","Ephx4","EPHX4",253152,"epoxide hydrolase 4"
"232","Nhlh2","NHLH2",4808,"nescient helix-loop-helix 2"
"233","Sptssb","SPTSSB",165679,"serine palmitoyltransferase small subunit B"
"234","Mmp17","MMP17",4326,"matrix metallopeptidase 17"
"235","Ttc9b","TTC9B",148014,"tetratricopeptide repeat domain 9B"
"236","Slc35f3","SLC35F3",148641,"solute carrier family 35 member F3"
"237","Pik3r3","PIK3R3",8503,"phosphoinositide-3-kinase regulatory subunit 3"
"238","Pik3r3","P3R3URF-PIK3R3",110117499,"P3R3URF-PIK3R3 readthrough"
"239","Marveld2","MARVELD2",153562,"MARVEL domain containing 2"
"240","Trhde","TRHDE",29953,"thyrotropin releasing hormone degrading enzyme"
"241","Kcnk1","KCNK1",3775,"potassium two pore domain channel subfamily K member 1"
"242","Lurap1","LURAP1",541468,"leucine rich adaptor protein 1"
"243","Spint2","SPINT2",10653,"serine peptidase inhibitor, Kunitz type 2"
"244","Tmem240","TMEM240",339453,"transmembrane protein 240"
"245","Nr4a2","NR4A2",4929,"nuclear receptor subfamily 4 group A member 2"
"246","Samd14","SAMD14",201191,"sterile alpha motif domain containing 14"
"247","Dpysl4","DPYSL4",10570,"dihydropyrimidinase like 4"
"248","Kank2","KANK2",25959,"KN motif and ankyrin repeat domains 2"
"249","Tbata","TBATA",219793,"thymus, brain and testes associated"
"250","Olfm3","OLFM3",118427,"olfactomedin 3"
"251","Lrrtm3","LRRTM3",347731,"leucine rich repeat transmembrane neuronal 3"
"252","Neurl1a","NEURL1",9148,"neuralized E3 ubiquitin protein ligase 1"
"253","Unc13c","UNC13C",440279,"unc-13 homolog C"
"254","Fam131b","FAM131B",9715,"family with sequence similarity 131 member B"
"255","Neurod1","NEUROD1",4760,"neuronal differentiation 1"
"256","Atp1a1","ATP1A1",476,"ATPase Na+/K+ transporting subunit alpha 1"
"257","Gabra6","GABRA6",2559,"gamma-aminobutyric acid type A receptor subunit alpha6"
"258","Gap43","GAP43",2596,"growth associated protein 43"
"259","Stxbp5l","STXBP5L",9515,"syntaxin binding protein 5L"
