"","MGI.symbol","HGNC.symbol","NCBI.gene..formerly.Entrezgene..ID","NCBI.gene..formerly.Entrezgene..description"
"50","Dbndd2","DBNDD2",55861,"dysbindin domain containing 2"
"51","Il22","IL22",50616,"interleukin 22"
"52","Dlgap4","DLGAP4",22839,"DLG associated protein 4"
"53","Agfg2","AGFG2",3268,"ArfGAP with FG repeats 2"
"54","Prmt8","PRMT8",56341,"protein arginine methyltransferase 8"
"55","Cds1","CDS1",1040,"CDP-diacylglycerol synthase 1"
"56","Rabep1","RABEP1",9135,"rabaptin, RAB GTPase binding effector protein 1"
"57","Atrnl1","ATRNL1",26033,"attractin like 1"
"58","Zbtb46","ZBTB46",140685,"zinc finger and BTB domain containing 46"
"59","Lmo7","LMO7",4008,"LIM domain 7"
"60","Cacng2","CACNG2",10369,"calcium voltage-gated channel auxiliary subunit gamma 2"
"61","Samd8","SAMD8",142891,"sterile alpha motif domain containing 8"
"62","Ebf2","EBF2",64641,"EBF transcription factor 2"
"63","1700037H04Rik","C20orf27",54976,"chromosome 20 open reading frame 27"
"64","Tuba8","TUBA8",51807,"tubulin alpha 8"
"65","Cabp7","CABP7",164633,"calcium binding protein 7"
"66","Gria3","GRIA3",2892,"glutamate ionotropic receptor AMPA type subunit 3"
"67","Pi4k2a","PI4K2A",55361,"phosphatidylinositol 4-kinase type 2 alpha"
"68","Kcna6","KCNA6",3742,"potassium voltage-gated channel subfamily A member 6"
"69","Dgkh","DGKH",160851,"diacylglycerol kinase eta"
"70","Gnal","GNAL",2774,"G protein subunit alpha L"
"71","Slc32a1","SLC32A1",140679,"solute carrier family 32 member 1"
"72","Lrp8","LRP8",7804,"LDL receptor related protein 8"
"73","Arhgap31","ARHGAP31",57514,"Rho GTPase activating protein 31"
"74","Atl2","ATL2",64225,"atlastin GTPase 2"
"75","Atp2b2","ATP2B2",491,"ATPase plasma membrane Ca2+ transporting 2"
"76","Stk17b","STK17B",9262,"serine/threonine kinase 17b"
"77","Stim1","STIM1",6786,"stromal interaction molecule 1"
"78","Map7d2","MAP7D2",256714,"MAP7 domain containing 2"
"79","Kcnma1","KCNMA1",3778,"potassium calcium-activated channel subfamily M alpha 1"
"80","Epha5","EPHA5",2044,"EPH receptor A5"
"81","Car7","CA7",766,"carbonic anhydrase 7"
"82","Cdk14","CDK14",5218,"cyclin dependent kinase 14"
"83","Kctd12","KCTD12",115207,"potassium channel tetramerization domain containing 12"
"84","Tex261","TEX261",113419,"testis expressed 261"
"85","Icmt","ICMT",23463,"isoprenylcysteine carboxyl methyltransferase"
"86","Pcsk6","PCSK6",5046,"proprotein convertase subtilisin/kexin type 6"
"87","Fam174b","FAM174B",400451,"family with sequence similarity 174 member B"
"88","Gprc5b","GPRC5B",51704,"G protein-coupled receptor class C group 5 member B"
"89","Rspo3","RSPO3",84870,"R-spondin 3"
"90","Ksr2","KSR2",283455,"kinase suppressor of ras 2"
"91","Sorl1","SORL1",6653,"sortilin related receptor 1"
"92","Tenm4","TENM4",26011,"teneurin transmembrane protein 4"
"93","Clstn3","CLSTN3",9746,"calsyntenin 3"
"94","Fam222a","FAM222A",84915,"family with sequence similarity 222 member A"
"95","Auts2","AUTS2",26053,"activator of transcription and developmental regulator AUTS2"
"96","Igf1","IGF1",3479,"insulin like growth factor 1"
"97","Fam107b","FAM107B",83641,"family with sequence similarity 107 member B"
"98","Rmdn3","RMDN3",55177,"regulator of microtubule dynamics 3"
"99","Dmd","DMD",1756,"dystrophin"
"100","Clec2l","CLEC2L",154790,"C-type lectin domain family 2 member L"
"101","Sbk1","SBK1",388228,"SH3 domain binding kinase 1"
"102","Ptpn4","PTPN4",5775,"protein tyrosine phosphatase non-receptor type 4"
"103","Ift57","IFT57",55081,"intraflagellar transport 57"
"104","Nefl","NEFL",4747,"neurofilament light chain"
"105","Tacc1","TACC1",6867,"transforming acidic coiled-coil containing protein 1"
"106","Dagla","DAGLA",747,"diacylglycerol lipase alpha"
"107","Prkg1","PRKG1",5592,"protein kinase cGMP-dependent 1"
"108","Kitl","KITLG",4254,"KIT ligand"
"109","Fstl4","FSTL4",23105,"follistatin like 4"
"110","Garnl3","GARNL3",84253,"GTPase activating Rap/RanGAP domain like 3"
"111","Ajap1","AJAP1",55966,"adherens junctions associated protein 1"
"112","AI593442","C11orf87",399947,"chromosome 11 open reading frame 87"
"113","Spock3","SPOCK3",50859,"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 3"
"114","Ebf3","EBF3",253738,"EBF transcription factor 3"
"115","Cacna1g","CACNA1G",8913,"calcium voltage-gated channel subunit alpha1 G"
"116","Cdh12","CDH12",1010,"cadherin 12"
"117","Rgs7bp","RGS7BP",401190,"regulator of G protein signaling 7 binding protein"
"118","Sv2c","SV2C",22987,"synaptic vesicle glycoprotein 2C"
"119","Dpp10","DPP10",57628,"dipeptidyl peptidase like 10"
"120","Mprip","MPRIP",23164,"myosin phosphatase Rho interacting protein"
"121","Cep126","CEP126",57562,"centrosomal protein 126"
"122","Tmem64","TMEM64",169200,"transmembrane protein 64"
"123","Arhgap5","ARHGAP5",394,"Rho GTPase activating protein 5"
"124","Hes3","HES3",390992,"hes family bHLH transcription factor 3"
"125","Ccdc85a","CCDC85A",114800,"coiled-coil domain containing 85A"
"126","Ptprr","PTPRR",5801,"protein tyrosine phosphatase receptor type R"
"127","Th","TH",7054,"tyrosine hydroxylase"
"128","Bcar1","BCAR1",9564,"BCAR1 scaffold protein, Cas family member"
"129","Htr1b","HTR1B",3351,"5-hydroxytryptamine receptor 1B"
"130","Calb1","CALB1",793,"calbindin 1"
"131","Gng13","GNG13",51764,"G protein subunit gamma 13"
"132","Ablim2","ABLIM2",84448,"actin binding LIM protein family member 2"
"133","Cmya5","CMYA5",202333,"cardiomyopathy associated 5"
"134","Bcl11a","BCL11A",53335,"BAF chromatin remodeling complex subunit BCL11A"
"135","Cck","CCK",885,"cholecystokinin"
"136","Ppp4r4","PPP4R4",57718,"protein phosphatase 4 regulatory subunit 4"
"137","H2-D1","HLA-E",3133,"major histocompatibility complex, class I, E"
"138","Arhgap26","ARHGAP26",23092,"Rho GTPase activating protein 26"
"139","Rbfox2","RBFOX2",23543,"RNA binding fox-1 homolog 2"
"140","Nwd2","NWD2",57495,"NACHT and WD repeat domain containing 2"
"141","Scn4b","SCN4B",6330,"sodium voltage-gated channel beta subunit 4"
"142","Lingo3","LINGO3",645191,"leucine rich repeat and Ig domain containing 3"
"143","Rictor","RICTOR",253260,"RPTOR independent companion of MTOR complex 2"
"144","Wwp1","WWP1",11059,"WW domain containing E3 ubiquitin protein ligase 1"
"145","Rdh11","RDH11",51109,"retinol dehydrogenase 11"
"146","Nr2f2","NR2F2",7026,"nuclear receptor subfamily 2 group F member 2"
"147","Lancl1","LANCL1",10314,"LanC like 1"
"148","Strn3","STRN3",29966,"striatin 3"
"149","Elovl6","ELOVL6",79071,"ELOVL fatty acid elongase 6"
"150","Slc35f1","SLC35F1",222553,"solute carrier family 35 member F1"
"151","Grm7","GRM7",2917,"glutamate metabotropic receptor 7"
"152","Robo2","ROBO2",6092,"roundabout guidance receptor 2"
"153","Dgkz","DGKZ",8525,"diacylglycerol kinase zeta"
"154","Hapln4","HAPLN4",404037,"hyaluronan and proteoglycan link protein 4"
"155","Gria2","GRIA2",2891,"glutamate ionotropic receptor AMPA type subunit 2"
"156","Rora","RORA",6095,"RAR related orphan receptor A"
"157","Chst8","CHST8",64377,"carbohydrate sulfotransferase 8"
"158","Gabra1","GABRA1",2554,"gamma-aminobutyric acid type A receptor subunit alpha1"
"159","Grm1","GRM1",2911,"glutamate metabotropic receptor 1"
"160","Adam23","ADAM23",8745,"ADAM metallopeptidase domain 23"
"161","Trim9","TRIM9",114088,"tripartite motif containing 9"
"162","Laptm4b","LAPTM4B",55353,"lysosomal protein transmembrane 4 beta"
"163","Trpc3","TRPC3",7222,"transient receptor potential cation channel subfamily C member 3"
"164","Dner","DNER",92737,"delta/notch like EGF repeat containing"
"165","Plcb3","PLCB3",5331,"phospholipase C beta 3"
"166","Hspa12a","HSPA12A",259217,"heat shock protein family A (Hsp70) member 12A"
"167","Strip2","STRIP2",57464,"striatin interacting protein 2"
"168","Ebf1","EBF1",1879,"EBF transcription factor 1"
"169","Pigk","PIGK",10026,"phosphatidylinositol glycan anchor biosynthesis class K"
"170","Car8","CA8",767,"carbonic anhydrase 8"
"171","Gdf11","GDF11",10220,"growth differentiation factor 11"
"172","Zdhhc14","ZDHHC14",79683,"zinc finger DHHC-type palmitoyltransferase 14"
"173","Tenm2","TENM2",57451,"teneurin transmembrane protein 2"
"174","Psd2","PSD2",84249,"pleckstrin and Sec7 domain containing 2"
"175","Krt25","KRT25",147183,"keratin 25"
"176","Eps8l2","EPS8L2",64787,"EPS8 like 2"
"177","Kcng4","KCNG4",93107,"potassium voltage-gated channel modifier subfamily G member 4"
"178","Nlrp10","NLRP10",338322,"NLR family pyrin domain containing 10"
"179","Lhx1","LHX1",3975,"LIM homeobox 1"
"180","Nexn","NEXN",91624,"nexilin F-actin binding protein"
"181","Gad1","GAD1",2571,"glutamate decarboxylase 1"
"182","Ppp1r17","PPP1R17",10842,"protein phosphatase 1 regulatory subunit 17"
"183","Shisa6","SHISA6",388336,"shisa family member 6"
"184","Hhatl","HHATL",57467,"hedgehog acyltransferase like"
"185","Thy1","THY1",7070,"Thy-1 cell surface antigen"
"186","Zmat3","ZMAT3",64393,"zinc finger matrin-type 3"
"187","Sptbn2","SPTBN2",6712,"spectrin beta, non-erythrocytic 2"
"188","Hbegf","HBEGF",1839,"heparin binding EGF like growth factor"
"189","Foxp2","FOXP2",93986,"forkhead box P2"
"190","Lhx5","LHX5",64211,"LIM homeobox 5"
"191","Aldoc","ALDOC",230,"aldolase, fructose-bisphosphate C"
"192","Rgs8","RGS8",85397,"regulator of G protein signaling 8"
"193","Stac","STAC",6769,"SH3 and cysteine rich domain"
"194","Arhgap32","ARHGAP32",9743,"Rho GTPase activating protein 32"
"195","Ptchd4","PTCHD4",442213,"patched domain containing 4"
"196","Homer3","HOMER3",9454,"homer scaffold protein 3"
"197","Slc41a3","SLC41A3",54946,"solute carrier family 41 member 3"
"198","Far2","FAR2",55711,"fatty acyl-CoA reductase 2"
"199","Anks1b","ANKS1B",56899,"ankyrin repeat and sterile alpha motif domain containing 1B"
"200","Plxdc1","PLXDC1",57125,"plexin domain containing 1"
"201","Cdc42bpa","CDC42BPA",8476,"CDC42 binding protein kinase alpha"
"202","Itpka","ITPKA",3706,"inositol-trisphosphate 3-kinase A"
"203","Rasal2","RASAL2",9462,"RAS protein activator like 2"
"204","Adgrl2","ADGRL2",23266,"adhesion G protein-coupled receptor L2"
"205","Myh10","MYH10",4628,"myosin heavy chain 10"
"206","Efr3a","EFR3A",23167,"EFR3 homolog A"
"207","Mef2c","MEF2C",4208,"myocyte enhancer factor 2C"
"208","Bzw2","BZW2",28969,"basic leucine zipper and W2 domains 2"
"209","Tspan11","TSPAN11",441631,"tetraspanin 11"
"210","Kcnh7","KCNH7",90134,"potassium voltage-gated channel subfamily H member 7"
"211","Baiap2","BAIAP2",10458,"BAR/IMD domain containing adaptor protein 2"
"212","Arhgef33","ARHGEF33",100271715,"Rho guanine nucleotide exchange factor 33"
"213","Nomo1","NOMO3",408050,"NODAL modulator 3"
"214","Nomo1","NOMO2",102723728,"nodal modulator 3-like"
"215","Nomo1","NOMO2",283820,"NODAL modulator 2"
"216","Nomo1","NOMO1",23420,"NODAL modulator 1"
"217","Arap1","ARAP1",116985,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1"
"218","Kif3c","KIF3C",3797,"kinesin family member 3C"
"219","Itpr1","ITPR1",3708,"inositol 1,4,5-trisphosphate receptor type 1"
"220","Reep2","REEP2",51308,"receptor accessory protein 2"
"221","Srgap2","SRGAP2C",653464,"SLIT-ROBO Rho GTPase activating protein 2C"
"222","Srgap2","SRGAP2B",647135,"SLIT-ROBO Rho GTPase activating protein 2B"
"223","Slc1a6","SLC1A6",6511,"solute carrier family 1 member 6"
"224","Prkab2","PRKAB2",5565,"protein kinase AMP-activated non-catalytic subunit beta 2"
"225","Dgkg","DGKG",1608,"diacylglycerol kinase gamma"
"226","Clip4","CLIP4",79745,"CAP-Gly domain containing linker protein family member 4"
"227","Mdfi","MDFI",4188,"MyoD family inhibitor"
"228","Tspan2","TSPAN2",10100,"tetraspanin 2"
"229","Ndrg4","NDRG4",65009,"NDRG family member 4"
"230","Hpcal1","HPCAL1",3241,"hippocalcin like 1"
"231","Orai2","ORAI2",80228,"ORAI calcium release-activated calcium modulator 2"
"232","Cystm1","CYSTM1",84418,"cysteine rich transmembrane module containing 1"
"233","Lrrfip1","LRRFIP1",9208,"LRR binding FLII interacting protein 1"
"234","Rbms1","RBMS1",5937,"RNA binding motif single stranded interacting protein 1"
"235","Cacnb2","CACNB2",783,"calcium voltage-gated channel auxiliary subunit beta 2"
"236","Banp","BANP",54971,"BTG3 associated nuclear protein"
"237","Ryr1","RYR1",6261,"ryanodine receptor 1"
"238","Wls","WLS",79971,"Wnt ligand secretion mediator"
"239","Dap","DAP",1611,"death associated protein"
"240","Stmn4","STMN4",81551,"stathmin 4"
"241","Rab11fip4","RAB11FIP4",84440,"RAB11 family interacting protein 4"
"242","Slc20a1","SLC20A1",6574,"solute carrier family 20 member 1"
"243","Sycp1","SYCP1",6847,"synaptonemal complex protein 1"
"244","Inpp4a","INPP4A",3631,"inositol polyphosphate-4-phosphatase type I A"
"245","Lpgat1","LPGAT1",9926,"lysophosphatidylglycerol acyltransferase 1"
"246","Pogk","POGK",57645,"pogo transposable element derived with KRAB domain"
"247","Cacna2d2","CACNA2D2",9254,"calcium voltage-gated channel auxiliary subunit alpha2delta 2"
"248","Slc6a6","SLC6A6",6533,"solute carrier family 6 member 6"
"249","Nek2","NEK2",4751,"NIMA related kinase 2"
"250","Casq2","CASQ2",845,"calsequestrin 2"
"251","Arhgap20","ARHGAP20",57569,"Rho GTPase activating protein 20"
"252","Ccdc88a","CCDC88A",55704,"coiled-coil domain containing 88A"
"253","Atp2a2","ATP2A2",488,"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2"
"254","Mtss1","MTSS1",9788,"MTSS I-BAR domain containing 1"
"255","Zfp385c","ZNF385C",201181,"zinc finger protein 385C"
"256","Steap2","STEAP2",261729,"STEAP2 metalloreductase"
"257","Lrrn2","LRRN2",10446,"leucine rich repeat neuronal 2"
"258","Arap2","ARAP2",116984,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2"
"259","Kalrn","KALRN",8997,"kalirin RhoGEF kinase"
"260","Kcnab1","KCNAB1",7881,"potassium voltage-gated channel subfamily A regulatory beta subunit 1"
"261","Creg1","CREG1",8804,"cellular repressor of E1A stimulated genes 1"
"262","Cpne9","CPNE9",151835,"copine family member 9"
"263","Kcnip1","KCNIP1",30820,"potassium voltage-gated channel interacting protein 1"
"264","Id2","ID2",3398,"inhibitor of DNA binding 2"
"265","Fgf11","FGF11",2256,"fibroblast growth factor 11"
"266","Tm6sf1","TM6SF1",53346,"transmembrane 6 superfamily member 1"
"267","Rhou","RHOU",58480,"ras homolog family member U"
"268","Abr","ABR",29,"ABR activator of RhoGEF and GTPase"
"269","Kcnc3","KCNC3",3748,"potassium voltage-gated channel subfamily C member 3"
"270","Svil","SVIL",6840,"supervillin"
"271","Myo5a","MYO5A",4644,"myosin VA"
"272","B3gnt5","B3GNT5",84002,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5"
"273","Sccpdh","SCCPDH",51097,"saccharopine dehydrogenase (putative)"
"274","Fgf7","FGF7",2252,"fibroblast growth factor 7"
"275","Uhmk1","UHMK1",127933,"U2AF homology motif kinase 1"
"276","Chn1","CHN1",1123,"chimerin 1"
"277","Erp29","ERP29",10961,"endoplasmic reticulum protein 29"
"278","Nsg1","NSG1",27065,"neuronal vesicle trafficking associated 1"
"279","Epha4","EPHA4",2043,"EPH receptor A4"
"280","Chst2","CHST2",9435,"carbohydrate sulfotransferase 2"
"281","Susd4","SUSD4",55061,"sushi domain containing 4"
"282","Pcp2","PCP2",126006,"Purkinje cell protein 2"
"283","Shank2","SHANK2",22941,"SH3 and multiple ankyrin repeat domains 2"
"284","Trabd2b","TRABD2B",388630,"TraB domain containing 2B"
"285","Bean1","BEAN1",146227,"brain expressed associated with NEDD4 1"
"286","Cpeb1","CPEB1",64506,"cytoplasmic polyadenylation element binding protein 1"
"287","Polr3k","POLR3K",51728,"RNA polymerase III subunit K"
"288","Thsd7a","THSD7A",221981,"thrombospondin type 1 domain containing 7A"
"289","Rnf19b","RNF19B",127544,"ring finger protein 19B"
"290","Espn","ESPN",83715,"espin"
"291","Prkcg","PRKCG",5582,"protein kinase C gamma"
"292","Rtn4","RTN4",57142,"reticulon 4"
"293","Phactr2","PHACTR2",9749,"phosphatase and actin regulator 2"
"294","Camk2a","CAMK2A",815,"calcium/calmodulin dependent protein kinase II alpha"
"295","Nceh1","NCEH1",57552,"neutral cholesterol ester hydrolase 1"
"296","Cttnbp2","CTTNBP2",83992,"cortactin binding protein 2"
