"","MGI.symbol","HGNC.symbol","NCBI.gene..formerly.Entrezgene..ID","NCBI.gene..formerly.Entrezgene..description"
"54","Degs2","DEGS2",123099,"delta 4-desaturase, sphingolipid 2"
"55","Timp3","TIMP3",7078,"TIMP metallopeptidase inhibitor 3"
"56","Slc7a1","SLC7A1",6541,"solute carrier family 7 member 1"
"57","Edn1","EDN1",1906,"endothelin 1"
"58","Psme1","PSME1",5720,"proteasome activator subunit 1"
"59","Filip1","FILIP1",27145,"filamin A interacting protein 1"
"60","Ifnar1","IFNAR1",3454,"interferon alpha and beta receptor subunit 1"
"61","Prss23","PRSS23",11098,"serine protease 23"
"62","Irf9","IRF9",10379,"interferon regulatory factor 9"
"63","Bmx","BMX",660,"BMX non-receptor tyrosine kinase"
"64","Sema3c","SEMA3C",10512,"semaphorin 3C"
"65","Sema7a","SEMA7A",8482,"semaphorin 7A (John Milton Hagen blood group)"
"66","Ccm2l","CCM2L",140706,"CCM2 like scaffold protein"
"67","Bnip2","BNIP2",663,"BCL2 interacting protein 2"
"68","Mfng","MFNG",4242,"MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase"
"69","Pon2","PON2",5445,"paraoxonase 2"
"70","Smtn","SMTN",6525,"smoothelin"
"71","Rnase4","RNASE4",6038,"ribonuclease A family member 4"
"72","Hspa12b","HSPA12B",116835,"heat shock protein family A (Hsp70) member 12B"
"73","Il2rg","IL2RG",3561,"interleukin 2 receptor subunit gamma"
"74","Reep3","REEP3",221035,"receptor accessory protein 3"
"75","Abcc4","ABCC4",10257,"ATP binding cassette subfamily C member 4"
"76","Vat1","VAT1",10493,"vesicle amine transport 1"
"77","Ndnf","NDNF",79625,"neuron derived neurotrophic factor"
"78","Cd2ap","CD2AP",23607,"CD2 associated protein"
"79","Limch1","LIMCH1",22998,"LIM and calponin homology domains 1"
"80","Tmem204","TMEM204",79652,"transmembrane protein 204"
"81","Myo10","MYO10",4651,"myosin X"
"82","Col4a1","COL4A1",1282,"collagen type IV alpha 1 chain"
"83","Cnn2","CNN2",1265,"calponin 2"
"84","Tes","TES",26136,"testin LIM domain protein"
"85","Col4a2","COL4A2",1284,"collagen type IV alpha 2 chain"
"86","Erg","ERG",2078,"ETS transcription factor ERG"
"87","Foxf2","FOXF2",2295,"forkhead box F2"
"88","Emcn","EMCN",51705,"endomucin"
"89","Serinc3","SERINC3",10955,"serine incorporator 3"
"90","Slc35f2","SLC35F2",54733,"solute carrier family 35 member F2"
"91","Il10rb","IL10RB",3588,"interleukin 10 receptor subunit beta"
"92","Rbms2","RBMS2",5939,"RNA binding motif single stranded interacting protein 2"
"93","Foxc1","FOXC1",2296,"forkhead box C1"
"94","Prr5l","PRR5L",79899,"proline rich 5 like"
"95","Ahnak","AHNAK",79026,"AHNAK nucleoprotein"
"96","Parvb","PARVB",29780,"parvin beta"
"97","Tmem123","TMEM123",114908,"transmembrane protein 123"
"98","Tmem98","TMEM98",26022,"transmembrane protein 98"
"99","Gas6","GAS6",2621,"growth arrest specific 6"
"100","Ifnar2","IFNAR2",3455,"interferon alpha and beta receptor subunit 2"
"101","Foxq1","FOXQ1",94234,"forkhead box Q1"
"102","Nrp1","NRP1",8829,"neuropilin 1"
"103","Pgm5","PGM5",5239,"phosphoglucomutase 5"
"104","Arl4a","ARL4A",10124,"ADP ribosylation factor like GTPase 4A"
"105","Klf4","KLF4",9314,"Kruppel like factor 4"
"106","Tspan13","TSPAN13",27075,"tetraspanin 13"
"107","Lgals9","LGALS16",148003,"galectin 16"
"108","Lgals9","LGALS14",56891,"galectin 14"
"109","Tbx3","TBX3",6926,"T-box transcription factor 3"
"110","Adgre5","ADGRE5",976,"adhesion G protein-coupled receptor E5"
"111","Srgn","SRGN",5552,"serglycin"
"112","Ppic","PPIC",5480,"peptidylprolyl isomerase C"
"113","Slc38a3","SLC38A3",10991,"solute carrier family 38 member 3"
"114","Rbpms","RBPMS",11030,"RNA binding protein, mRNA processing factor"
"115","Sox17","SOX17",64321,"SRY-box transcription factor 17"
"116","2900026A02Rik","KIAA1671",85379,"KIAA1671"
"117","Cyba","CYBA",1535,"cytochrome b-245 alpha chain"
"118","Tsc22d3","TSC22D3",1831,"TSC22 domain family member 3"
"119","Fgd5","FGD5",152273,"FYVE, RhoGEF and PH domain containing 5"
"120","Sptbn1","SPTBN1",6711,"spectrin beta, non-erythrocytic 1"
"121","Ctnna1","CTNNA1",1495,"catenin alpha 1"
"122","Arhgap31","ARHGAP31",57514,"Rho GTPase activating protein 31"
"123","Myh9","MYH9",4627,"myosin heavy chain 9"
"124","Sgms1","SGMS1",259230,"sphingomyelin synthase 1"
"125","Nampt","NAMPT",10135,"nicotinamide phosphoribosyltransferase"
"126","Dab2","DAB2",112267931,"uncharacterized LOC112267931"
"127","Dab2","DAB2",1601,"DAB adaptor protein 2"
"128","Cd151","CD151",977,"CD151 molecule (Raph blood group)"
"129","Irf7","IRF7",3665,"interferon regulatory factor 7"
"130","Swap70","SWAP70",23075,"switching B cell complex subunit SWAP70"
"131","Xdh","XDH",7498,"xanthine dehydrogenase"
"132","Cmtm8","CMTM8",152189,"CKLF like MARVEL transmembrane domain containing 8"
"133","H2-T23","HLA-E",3133,"major histocompatibility complex, class I, E"
"134","Crip1","CRIP1",1396,"cysteine rich protein 1"
"135","Akap12","AKAP12",9590,"A-kinase anchoring protein 12"
"136","Robo4","ROBO4",54538,"roundabout guidance receptor 4"
"137","Calcrl","CALCRL",10203,"calcitonin receptor like receptor"
"138","Ushbp1","USHBP1",83878,"USH1 protein network component harmonin binding protein 1"
"139","Entpd1","ENTPD1",953,"ectonucleoside triphosphate diphosphohydrolase 1"
"140","Slc16a9","SLC16A9",220963,"solute carrier family 16 member 9"
"141","Vamp3","VAMP3",9341,"vesicle associated membrane protein 3"
"142","Serpinh1","SERPINH1",871,"serpin family H member 1"
"143","Elovl7","ELOVL7",79993,"ELOVL fatty acid elongase 7"
"144","Podxl","PODXL",5420,"podocalyxin like"
"145","Osmr","OSMR",9180,"oncostatin M receptor"
"146","Ndrg1","NDRG1",10397,"N-myc downstream regulated 1"
"147","Igfbp7","IGFBP7",3490,"insulin like growth factor binding protein 7"
"148","Nxpe4","NXPE4",54827,"neurexophilin and PC-esterase domain family member 4"
"149","Lpar6","LPAR6",10161,"lysophosphatidic acid receptor 6"
"150","Abcb1a","ABCB1",5243,"ATP binding cassette subfamily B member 1"
"151","Phldb2","PHLDB2",90102,"pleckstrin homology like domain family B member 2"
"152","Sorbs2","SORBS2",8470,"sorbin and SH3 domain containing 2"
"153","Sh3bp4","SH3BP4",23677,"SH3 domain binding protein 4"
"154","Slc38a5","SLC38A5",92745,"solute carrier family 38 member 5"
"155","Xaf1","XAF1",54739,"XIAP associated factor 1"
"156","Slc39a8","SLC39A8",64116,"solute carrier family 39 member 8"
"157","Kdr","KDR",3791,"kinase insert domain receptor"
"158","B4galt4","B4GALT4",8702,"beta-1,4-galactosyltransferase 4"
"159","Pglyrp1","PGLYRP1",8993,"peptidoglycan recognition protein 1"
"160","Rab11a","RAB11A",8766,"RAB11A, member RAS oncogene family"
"161","Wwc2","WWC2",80014,"WW and C2 domain containing 2"
"162","Casp6","CASP6",839,"caspase 6"
"163","Serpinb6b","SERPINB6",5269,"serpin family B member 6"
"164","Rps19","RPS19",6223,"ribosomal protein S19"
"165","St8sia4","ST8SIA4",7903,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4"
"166","Kitl","KITLG",4254,"KIT ligand"
"167","Aldh2","ALDH2",217,"aldehyde dehydrogenase 2 family member"
"168","Cav1","CAV1",857,"caveolin 1"
"169","Ddit4","DDIT4",54541,"DNA damage inducible transcript 4"
"170","Anxa5","ANXA5",308,"annexin A5"
"171","Rgcc","RGCC",28984,"regulator of cell cycle"
"172","Elk3","ELK3",2004,"ETS transcription factor ELK3"
"173","Cdkn1a","CDKN1A",1026,"cyclin dependent kinase inhibitor 1A"
"174","Adgrl4","ADGRL4",64123,"adhesion G protein-coupled receptor L4"
"175","Tns2","TNS2",23371,"tensin 2"
"176","Mal","MAL",4118,"mal, T cell differentiation protein"
"177","Cldn5","CLDN5",7122,"claudin 5"
"178","Nos3","NOS3",4846,"nitric oxide synthase 3"
"179","Ecscr","ECSCR",641700,"endothelial cell surface expressed chemotaxis and apoptosis regulator"
"180","Tie1","TIE1",7075,"tyrosine kinase with immunoglobulin like and EGF like domains 1"
"181","Fmnl3","FMNL3",91010,"formin like 3"
"182","Tnfsf10","TNFSF10",8743,"TNF superfamily member 10"
"183","Lmo2","LMO2",4005,"LIM domain only 2"
"184","Laptm4a","LAPTM4A",9741,"lysosomal protein transmembrane 4 alpha"
"185","Gatm","GATM",2628,"glycine amidinotransferase"
"186","Thsd1","THSD1",55901,"thrombospondin type 1 domain containing 1"
"187","Adgrf5","ADGRF5",221395,"adhesion G protein-coupled receptor F5"
"188","Psmb9","PSMB9",5698,"proteasome 20S subunit beta 9"
"189","Ginm1","GINM1",116254,"glycoprotein integral membrane 1"
"190","Fli1","FLI1",2313,"Fli-1 proto-oncogene, ETS transcription factor"
"191","Pde8a","PDE8A",5151,"phosphodiesterase 8A"
"192","H2-K1","HLA-E",3133,"major histocompatibility complex, class I, E"
"193","Ucp2","UCP2",7351,"uncoupling protein 2"
"194","Wfdc1","WFDC1",58189,"WAP four-disulfide core domain 1"
"195","Ctnnb1","CTNNB1",1499,"catenin beta 1"
"196","Klf2","KLF2",10365,"Kruppel like factor 2"
"197","Lef1","LEF1",51176,"lymphoid enhancer binding factor 1"
"198","Uaca","UACA",55075,"uveal autoantigen with coiled-coil domains and ankyrin repeats"
"199","Cav2","CAV2",858,"caveolin 2"
"200","Esam","ESAM",90952,"endothelial cell adhesion molecule"
"201","Car4","CA4",762,"carbonic anhydrase 4"
"202","Gimap6","GIMAP6",474344,"GTPase, IMAP family member 6"
"203","Arpc1b","ARPC1B",10095,"actin related protein 2/3 complex subunit 1B"
"204","Reck","RECK",8434,"reversion inducing cysteine rich protein with kazal motifs"
"205","Leprot","LEPROT",54741,"leptin receptor overlapping transcript"
"206","Tgfbr2","TGFBR2",7048,"transforming growth factor beta receptor 2"
"207","Cp","CP",1356,"ceruloplasmin"
"208","Wasf2","WASF2",10163,"WASP family member 2"
"209","Ets1","ETS1",2113,"ETS proto-oncogene 1, transcription factor"
"210","H2-D1","HLA-E",3133,"major histocompatibility complex, class I, E"
"211","Eogt","EOGT",285203,"EGF domain specific O-linked N-acetylglucosamine transferase"
"212","Nfkbia","NFKBIA",4792,"NFKB inhibitor alpha"
"213","Fzd6","FZD6",8323,"frizzled class receptor 6"
"214","Tmod3","TMOD3",112268148,"uncharacterized LOC112268148"
"215","Tmod3","TMOD3",29766,"tropomodulin 3"
"216","Rrbp1","RRBP1",6238,"ribosome binding protein 1"
"217","Clic5","CLIC5",53405,"chloride intracellular channel 5"
"218","Eng","ENG",2022,"endoglin"
"219","Ptn","PTN",5764,"pleiotrophin"
"220","Hspb1","HSPB1",3315,"heat shock protein family B (small) member 1"
"221","Sh3glb1","SH3GLB1",51100,"SH3 domain containing GRB2 like, endophilin B1"
"222","Rpl22","RPL22",6146,"ribosomal protein L22"
"223","Gpr4","GPR4",2828,"G protein-coupled receptor 4"
"224","Clic4","CLIC4",25932,"chloride intracellular channel 4"
"225","Cyb5r3","CYB5R3",1727,"cytochrome b5 reductase 3"
"226","Heg1","HEG1",57493,"heart development protein with EGF like domains 1"
"227","Prom1","PROM1",8842,"prominin 1"
"228","Igf1r","IGF1R",3480,"insulin like growth factor 1 receptor"
"229","Egfl7","EGFL7",51162,"EGF like domain multiple 7"
"230","Crip2","CRIP2",1397,"cysteine rich protein 2"
"231","Mmrn2","MMRN2",79812,"multimerin 2"
"232","Maoa","MAOA",4128,"monoamine oxidase A"
"233","Anxa3","ANXA3",306,"annexin A3"
"234","Ifit1","IFIT1B",439996,"interferon induced protein with tetratricopeptide repeats 1B"
"235","Tpm4","TPM4",7171,"tropomyosin 4"
"236","Adcy4","ADCY4",196883,"adenylate cyclase 4"
"237","Itgb1","ITGB1",3688,"integrin subunit beta 1"
"238","Pls3","PLS3",5358,"plastin 3"
"239","Parp14","PARP14",54625,"poly(ADP-ribose) polymerase family member 14"
"240","Serpinb6a","SERPINB6",5269,"serpin family B member 6"
"241","Zfp36l1","ZFP36L1",677,"ZFP36 ring finger protein like 1"
"242","Car5a","CA5A",763,"carbonic anhydrase 5A"
"243","Rad54b","RAD54B",25788,"RAD54 homolog B"
"244","Cd200","CD200",4345,"CD200 molecule"
"245","Ier3","IER3",8870,"immediate early response 3"
"246","Ly6e","LY6E",4061,"lymphocyte antigen 6 family member E"
"247","Abhd2","ABHD2",11057,"abhydrolase domain containing 2, acylglycerol lipase"
"248","Alpl","ALPL",249,"alkaline phosphatase, biomineralization associated"
"249","Slc31a1","SLC31A1",1317,"solute carrier family 31 member 1"
"250","Kif26a","KIF26A",26153,"kinesin family member 26A"
"251","Sypl","SYPL1",6856,"synaptophysin like 1"
"252","Gimap5","GIMAP1-GIMAP5",100527949,"GIMAP1-GIMAP5 readthrough"
"253","Paqr5","PAQR5",54852,"progestin and adipoQ receptor family member 5"
"254","Tmem252","TMEM252",169693,"transmembrane protein 252"
"255","Gnai2","GNAI2",2771,"G protein subunit alpha i2"
"256","Tcf7","TCF7",6932,"transcription factor 7"
"257","Synm","SYNM",23336,"synemin"
"258","Gimap1","GIMAP1",170575,"GTPase, IMAP family member 1"
"259","Adipor2","ADIPOR2",79602,"adiponectin receptor 2"
"260","Psmb8","PSMB8",5696,"proteasome 20S subunit beta 8"
"261","Epas1","EPAS1",2034,"endothelial PAS domain protein 1"
"262","Ackr3","ACKR3",57007,"atypical chemokine receptor 3"
"263","Tm4sf1","TM4SF1",4071,"transmembrane 4 L six family member 1"
"264","Ctsc","CTSC",1075,"cathepsin C"
"265","Lipa","LIPA",3988,"lipase A, lysosomal acid type"
"266","Slc39a10","SLC39A10",57181,"solute carrier family 39 member 10"
"267","Bcam","BCAM",4059,"basal cell adhesion molecule (Lutheran blood group)"
"268","Itga1","ITGA1",3672,"integrin subunit alpha 1"
"269","Net1","NET1",10276,"neuroepithelial cell transforming 1"
"270","Serpinb9","SERPINB9",5272,"serpin family B member 9"
"271","Afap1l1","AFAP1L1",134265,"actin filament associated protein 1 like 1"
"272","Csrp2","CSRP2",1466,"cysteine and glycine rich protein 2"
"273","Tek","TEK",7010,"TEK receptor tyrosine kinase"
"274","Ifi35","IFI35",3430,"interferon induced protein 35"
"275","Crtap","CRTAP",10491,"cartilage associated protein"
"276","Slc7a5","SLC7A5",8140,"solute carrier family 7 member 5"
"277","Iqgap1","IQGAP1",8826,"IQ motif containing GTPase activating protein 1"
"278","Lrrc8c","LRRC8C",84230,"leucine rich repeat containing 8 VRAC subunit C"
"279","Slco1a4","SLCO1A2",6579,"solute carrier organic anion transporter family member 1A2"
"280","Clec2d","CLEC2D",29121,"C-type lectin domain family 2 member D"
"281","Acer2","ACER2",340485,"alkaline ceramidase 2"
"282","Rassf3","RASSF3",283349,"Ras association domain family member 3"
"283","Slco1c1","SLCO1C1",53919,"solute carrier organic anion transporter family member 1C1"
"284","Emp2","EMP2",2013,"epithelial membrane protein 2"
"285","Tmem140","TMEM140",55281,"transmembrane protein 140"
"286","Pllp","PLLP",51090,"plasmolipin"
"287","Vamp8","VAMP8",8673,"vesicle associated membrane protein 8"
"288","Plk2","PLK2",10769,"polo like kinase 2"
"289","Atp10a","ATP10A",57194,"ATPase phospholipid transporting 10A (putative)"
"290","Lims2","LIMS2",55679,"LIM zinc finger domain containing 2"
"291","AU021092","C16orf89",146556,"chromosome 16 open reading frame 89"
"292","Klhl5","KLHL5",51088,"kelch like family member 5"
"293","Rhoc","RHOC",389,"ras homolog family member C"
"294","Gimap5","GIMAP5",55340,"GTPase, IMAP family member 5"
"295","Pecam1","PECAM1",5175,"platelet and endothelial cell adhesion molecule 1"
"296","Slc16a4","SLC16A4",9122,"solute carrier family 16 member 4"
"297","Apold1","APOLD1",81575,"apolipoprotein L domain containing 1"
"298","Atox1","ATOX1",475,"antioxidant 1 copper chaperone"
"299","1810037I17Rik","C4orf3",401152,"chromosome 4 open reading frame 3"
"300","Rtp4","RTP4",64108,"receptor transporter protein 4"
"301","Mecom","MECOM",2122,"MDS1 and EVI1 complex locus"
"302","Vim","VIM",7431,"vimentin"
"303","Vamp5","VAMP5",10791,"vesicle associated membrane protein 5"
"304","Itga6","ITGA6",3655,"integrin subunit alpha 6"
"305","BC028528","C1orf54",79630,"chromosome 1 open reading frame 54"
"306","Layn","LAYN",143903,"layilin"
"307","Cdh5","CDH5",1003,"cadherin 5"
"308","Irf1","IRF1",3659,"interferon regulatory factor 1"
"309","Slc6a6","SLC6A6",6533,"solute carrier family 6 member 6"
"310","St3gal6","ST3GAL6",10402,"ST3 beta-galactoside alpha-2,3-sialyltransferase 6"
"311","Trim30a","TRIM5",85363,"tripartite motif containing 5"
"312","Sema3g","SEMA3G",56920,"semaphorin 3G"
"313","Cgnl1","CGNL1",84952,"cingulin like 1"
"314","Id3","ID3",3399,"inhibitor of DNA binding 3, HLH protein"
"315","Tinagl1","TINAGL1",64129,"tubulointerstitial nephritis antigen like 1"
"316","St6galnac2","ST6GALNAC2",10610,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2"
"317","Pros1","PROS1",5627,"protein S"
"318","Adipor1","ADIPOR1",51094,"adiponectin receptor 1"
"319","Gbp4","GBP6",163351,"guanylate binding protein family member 6"
"320","Ablim1","ABLIM1",3983,"actin binding LIM protein 1"
"321","Gjc1","GJC1",10052,"gap junction protein gamma 1"
"322","Gcnt2","GCNT2",2651,"glucosaminyl (N-acetyl) transferase 2 (I blood group)"
"323","Vwa1","VWA1",64856,"von Willebrand factor A domain containing 1"
"324","Il6ra","IL6R",3570,"interleukin 6 receptor"
"325","Mgp","MGP",4256,"matrix Gla protein"
"326","Prkch","PRKCH",5583,"protein kinase C eta"
"327","Gkn3","GKN3P",NA,""
"328","Nes","NES",10763,"nestin"
"329","Polk","POLK",51426,"DNA polymerase kappa"
"330","Slc40a1","SLC40A1",30061,"solute carrier family 40 member 1"
"331","Fcgrt","FCGRT",2217,"Fc fragment of IgG receptor and transporter"
"332","Ltbp4","LTBP4",8425,"latent transforming growth factor beta binding protein 4"
"333","Vcam1","VCAM1",7412,"vascular cell adhesion molecule 1"
"334","Cd34","CD34",947,"CD34 molecule"
"335","Isg15","ISG15",9636,"ISG15 ubiquitin like modifier"
"336","Mfsd2a","MFSD2A",84879,"major facilitator superfamily domain containing 2A"
"337","Slc9a3r2","SLC9A3R2",9351,"SLC9A3 regulator 2"
"338","Mall","MALL",7851,"mal, T cell differentiation protein like"
"339","Glul","GLUL",2752,"glutamate-ammonia ligase"
"340","Agrn","AGRN",375790,"agrin"
"341","Nostrin","NOSTRIN",115677,"nitric oxide synthase trafficking"
"342","Hmgcs2","HMGCS2",3158,"3-hydroxy-3-methylglutaryl-CoA synthase 2"
"343","Plat","PLAT",5327,"plasminogen activator, tissue type"
"344","Isyna1","ISYNA1",51477,"inositol-3-phosphate synthase 1"
"345","Ramp2","RAMP2",10266,"receptor activity modifying protein 2"
"346","Rps20","RPS20",6224,"ribosomal protein S20"
"347","Palmd","PALMD",54873,"palmdelphin"
"348","Tmem88","TMEM88",92162,"transmembrane protein 88"
"349","Tmem50a","TMEM50A",23585,"transmembrane protein 50A"
"350","Irgm1","IRGM",345611,"immunity related GTPase M"
"351","Lamb2","LAMB2",3913,"laminin subunit beta 2"
"352","Ifi44","IFI44",10561,"interferon induced protein 44"
"353","Sparc","SPARC",6678,"secreted protein acidic and cysteine rich"
"354","Golim4","GOLIM4",27333,"golgi integral membrane protein 4"
"355","S100a11","S100A11",6282,"S100 calcium binding protein A11"
"356","Myl6","MYL6",4637,"myosin light chain 6"
"357","Tns1","TNS1",7145,"tensin 1"
"358","Trim47","TRIM47",91107,"tripartite motif containing 47"
"359","Rhob","RHOB",388,"ras homolog family member B"
"360","Bmpr2","BMPR2",659,"bone morphogenetic protein receptor type 2"
"361","Foxp1","FOXP1",27086,"forkhead box P1"
"362","Lgals9","LGALS13",29124,"galectin 13"
"363","Slfn5","SLFN5",162394,"schlafen family member 5"
"364","Rgs12","RGS12",6002,"regulator of G protein signaling 12"
"365","Nkd1","NKD1",85407,"NKD inhibitor of WNT signaling pathway 1"
"366","Stxbp6","STXBP6",29091,"syntaxin binding protein 6"
"367","Tdrp","TDRP",157695,"testis development related protein"
"368","Alas1","ALAS1",211,"5'-aminolevulinate synthase 1"
"369","Actn4","ACTN4",81,"actinin alpha 4"
"370","Rasip1","RASIP1",54922,"Ras interacting protein 1"
"371","Slco2b1","SLCO2B1",11309,"solute carrier organic anion transporter family member 2B1"
"372","Rsad2","RSAD2",91543,"radical S-adenosyl methionine domain containing 2"
"373","Arhgap29","ARHGAP29",9411,"Rho GTPase activating protein 29"
"374","Sp100","SP140",11262,"SP140 nuclear body protein"
"375","Ctsh","CTSH",1512,"cathepsin H"
"376","Scarb1","SCARB1",949,"scavenger receptor class B member 1"
"377","Cd59a","CD59",966,"CD59 molecule (CD59 blood group)"
"378","Gbp2","GBP2",2634,"guanylate binding protein 2"
"379","Esyt2","ESYT2",57488,"extended synaptotagmin 2"
"380","Acvrl1","ACVRL1",94,"activin A receptor like type 1"
"381","Eif2ak2","EIF2AK2",5610,"eukaryotic translation initiation factor 2 alpha kinase 2"
"382","Ppfibp1","PPFIBP1",8496,"PPFIA binding protein 1"
"383","Vwf","VWF",7450,"von Willebrand factor"
"384","Gpx1","GPX1",2876,"glutathione peroxidase 1"
"385","F11r","F11R",50848,"F11 receptor"
"386","Trim56","TRIM56",81844,"tripartite motif containing 56"
"387","Rps14","RPS14",6208,"ribosomal protein S14"
"388","Rasgrp3","RASGRP3",25780,"RAS guanyl releasing protein 3"
"389","Rras","RRAS",6237,"RAS related"
"390","Gbp9","GBP6",163351,"guanylate binding protein family member 6"
"391","She","SHE",126669,"Src homology 2 domain containing E"
"392","Fmo2","FMO2",2327,"flavin containing dimethylaniline monoxygenase 2"
"393","Spock2","SPOCK2",9806,"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2"
"394","Rbms1","RBMS1",5937,"RNA binding motif single stranded interacting protein 1"
"395","Rps2","RPS2",6187,"ribosomal protein S2"
"396","Ifih1","IFIH1",64135,"interferon induced with helicase C domain 1"
"397","Hip1","HIP1",3092,"huntingtin interacting protein 1"
"398","Ptp4a2","PTP4A2",8073,"protein tyrosine phosphatase 4A2"
"399","Mpzl1","MPZL1",9019,"myelin protein zero like 1"
"400","Klhl6","KLHL6",89857,"kelch like family member 6"
"401","Tjp1","TJP1",7082,"tight junction protein 1"
"402","Bst2","BST2",684,"bone marrow stromal cell antigen 2"
"403","S100a13","S100A13",6284,"S100 calcium binding protein A13"
"404","Shisa5","SHISA5",51246,"shisa family member 5"
"405","Fnbp1l","FNBP1L",54874,"formin binding protein 1 like"
"406","Notum","NOTUM",147111,"notum, palmitoleoyl-protein carboxylesterase"
"407","Pcp4l1","PCP4L1",654790,"Purkinje cell protein 4 like 1"
"408","Slfn2","SLFN12",55106,"schlafen family member 12"
"409","Slfn2","SLFN12L",100506736,"schlafen family member 12 like"
"410","B2m","B2M",567,"beta-2-microglobulin"
"411","Grb14","GRB14",2888,"growth factor receptor bound protein 14"
"412","Gbp7","GBP4",115361,"guanylate binding protein 4"
"413","Slc30a1","SLC30A1",7779,"solute carrier family 30 member 1"
"414","Ecm1","ECM1",1893,"extracellular matrix protein 1"
"415","Hmcn1","HMCN1",83872,"hemicentin 1"
"416","Gbp5","GBP5",115362,"guanylate binding protein 5"
"417","Gata2","GATA2",2624,"GATA binding protein 2"
"418","Cdkn1c","CDKN1C",1028,"cyclin dependent kinase inhibitor 1C"
"419","Grap","GRAP",10750,"GRB2 related adaptor protein"
"420","Utrn","UTRN",7402,"utrophin"
"421","Itsn2","ITSN2",50618,"intersectin 2"
"422","Cast","CAST",831,"calpastatin"
"423","Tapbp","TAPBP",6892,"TAP binding protein"
"424","Sh3bgrl3","SH3BGRL3",83442,"SH3 domain binding glutamate rich protein like 3"
